17/03/24 01:06:19 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/24 01:06:20 INFO client.RMProxy: Connecting to ResourceManager at cluster-2-m/10.138.0.7:8032
17/03/24 01:06:21 INFO gcsio.CacheSupplementedGoogleCloudStorage: Populating missing itemInfo on-demand for entry: gs://dataproc-1a827518-6b9d-4d03-9d4f-6782f49e30aa-us/output_full/_temporary/
17/03/24 01:06:21 WARN gcsio.CacheSupplementedGoogleCloudStorage: Possible stale CacheEntry; failed to fetch item info for: gs://dataproc-1a827518-6b9d-4d03-9d4f-6782f49e30aa-us/output_full/_temporary/ - removing from cache
17/03/24 01:06:21 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/24 01:06:23 INFO input.FileInputFormat: Total input paths to process : 3033
17/03/24 01:06:23 INFO mapreduce.JobSubmitter: number of splits:3033
17/03/24 01:06:23 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490317043049_0002
17/03/24 01:06:24 INFO impl.YarnClientImpl: Submitted application application_1490317043049_0002
17/03/24 01:06:24 INFO mapreduce.Job: The url to track the job: http://cluster-2-m:8088/proxy/application_1490317043049_0002/
17/03/24 01:06:24 INFO mapreduce.Job: Running job: job_1490317043049_0002
17/03/24 01:06:30 INFO mapreduce.Job: Job job_1490317043049_0002 running in uber mode : false
17/03/24 01:53:40 INFO mapreduce.Job:  map 100% reduce 80%
17/03/24 01:53:41 INFO mapreduce.Job:  map 100% reduce 81%
17/03/24 01:53:43 INFO mapreduce.Job:  map 100% reduce 86%
17/03/24 01:53:44 INFO mapreduce.Job:  map 100% reduce 87%
17/03/24 01:53:46 INFO mapreduce.Job:  map 100% reduce 89%
17/03/24 01:53:47 INFO mapreduce.Job:  map 100% reduce 91%
17/03/24 01:53:49 INFO mapreduce.Job:  map 100% reduce 92%
17/03/24 01:53:50 INFO mapreduce.Job:  map 100% reduce 94%
17/03/24 01:53:52 INFO mapreduce.Job:  map 100% reduce 96%
17/03/24 01:53:53 INFO mapreduce.Job:  map 100% reduce 97%
17/03/24 01:53:55 INFO mapreduce.Job:  map 100% reduce 99%
17/03/24 01:53:58 INFO mapreduce.Job:  map 100% reduce 100%
17/03/24 01:54:02 INFO mapreduce.Job: Job job_1490317043049_0002 completed successfully
17/03/24 01:54:02 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=3419884763
		FILE: Number of bytes written=7220632218
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1140869571
		GS: Number of bytes written=255921671
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=457656
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3033
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=3033
		Launched reduce tasks=13
		Rack-local map tasks=3033
		Total time spent by all maps in occupied slots (ms)=54757857
		Total time spent by all reduces in occupied slots (ms)=25331910
		Total time spent by all map tasks (ms)=18252619
		Total time spent by all reduce tasks (ms)=4221985
		Total vcore-milliseconds taken by all map tasks=18252619
		Total vcore-milliseconds taken by all reduce tasks=8443970
		Total megabyte-milliseconds taken by all map tasks=56072045568
		Total megabyte-milliseconds taken by all reduce tasks=25939875840
	Map-Reduce Framework
		Map input records=3033
		Map output records=210589120
		Map output bytes=2998706422
		Map output materialized bytes=3420103067
		Input split bytes=457656
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218065
		Reduce shuffle bytes=3420103067
		Reduce input records=210589120
		Reduce output records=1218065
		Spilled Records=421178240
		Shuffled Maps =36396
		Failed Shuffles=0
		Merged Map outputs=36396
		GC time elapsed (ms)=330145
		CPU time spent (ms)=8407650
		Physical memory (bytes) snapshot=1117564661760
		Virtual memory (bytes) snapshot=13414015242240
		Total committed heap usage (bytes)=1012459372544
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1140869571
	File Output Format Counters 
		Bytes Written=255921671
